user id ,question id,answer
1,1,"Non-verbal cues are the basis of partner dancing, that being said, I feel the need to very attentive to my partners non-verbal cues. Once I am mindful of his physical intention, intensity, movement, direction, I feel grounded, at peace and secure in my own movement."
1,2,"Being connected with my breathing, check my level of anxiety, if it is high, deep breaths in and out, breathing from the belly to reduce levels of anxiety and feel more grounded, present and able to receive and give out timely and non-contradictory sensory cues."
1,3,"The psychogical aspects are at the top of my list. Basic notions such as interpersonal communication, anger control, being aware of one's own anxiety levels and behaviour before, during and after practive, shows, events or competitions. Basic compassion, having a third party resolve issues not being resolved within the partnership, i.e. a counsellor, a sport psychologist or a mentor. Temperaments and personality that fit, get a long are as important as an ideal physical match."
1,4,"Connection with the breath, hearing the heartbeat of your partner, breathing a couple of breaths in synch before the inition of dance steps are keys to dancing in tandem in Argentine tango."
1,5,"Yes, breath and rhythm are central in partnering since it is a great way to be mindful of the other person state of mind and state of body at the initiation of a dance contact."
1,6,"Yes, touch is important since it is a powerful tool in stimulating our sensory system. Furthermore, while we are dancing and contact is achieved, our sensory motor system makes new neuronal pathways that transfer novel movements placed in our short-term memory into a more definite long-term memory. Once in our long-term memory, our brain can repeat a sequence of movements with less mental effort and concentration, this is the basis of learning."
1,7,"I take or give weight, by transfering weight from one foot to another while staying in axis. I breathe out and come forward laterally to give weight through my chest, and release the weight by moving back laterally my foot first and my chest follows."
1,8,"Since verbal cues are not used, visual contact remains a powerful tool is activating our sensory motor system. Visual cues are quick to pick up and react to."
1,9,"The common centre is the pillar of our common movement. Both partners need to give and take from the common centre, if one take's too much energy, the other person's movement will be weak, and vice versa, if too much force is given, the other will be overpowered."
1,10,"Breathing into each other's chest, mindful meditation, listening to eachother's heartbeat."
2,1,"40's female, professional, contemporary ballet and ballroom. The synchronicity is the joy. As a woman in ballroom there is a mystery when you are being lead in unchoreographed material that is a test of your zen-like ability to be in the moment. When timing is jsut right in choreographed work, it simply magnifies the experience of dancing alone."
2,2,No tricks... Breath is important.
2,3,"Clarity, breath, patience, trust, confidence in both yourself and your partner, imagination/visualization of the material (especially in big lifts), timing, eye contact, clear leg work and weight."
2,4,"Not sure how to answer this question. Generally partner work in any form shares elements. Above I pointed out a difference in ballroom (when unchoreographed/improvised). SO I guess I have already identified a difference, but it is not so great a difference in terms of the act of partnering, just how it evolves. Physical and visual contact are 2 of many approaches."
2,5,"Yes. as above. Without rhythm it is nearly impossible. Breath is the glue that identifies ""where"" the dancers are going next. Similarly, rhythm is a kind of breath pulse. Equally necessary."
2,6,"Yes. One needs to know how to touch a partner, hand grips and points of contact that are the communication of readiness."
2,7,Sometimes it is merely a matter of retaining your own line and letting your partner manipulate it. Others is can be about finding the vector force that matches the pull from the partner. Part of this is about visualization of the of the movement.
2,8,It can be the whole thing or it can be very little. Depends on the kind of work.
2,9,"I don't use this phrase, maybe I'd say shared centre, but I suppose this is the point where forces meet if separate, or the plumb line point in stacking."
