
center, common, similar, graviti, centr, effort, experienc, partner, contact, danc, bodi, movement, touch, weight
bodi, feel, abl, listen, danc, person, mind, ground, languag, receiv, yield, partner, contact, movement
danc, feel, share, think, experi, techniqu, style, qualiti, profession, carri, male, posit, contemporari, tool
visual, contact, danc, physic, look, essenti, stage, momentum, reason, import, perform, type, partner, bodi
danc, connect, perform, touch, import, concentr, creat, contemporari, learn, rehears, differ, transfer, achiev, type
resist, touch, cue, relat, direct, hold, speed, mirror, express, space, necessari, bring, say, react
connect, communic, time, level, breath, hold, anxieti, stori, core, step, aspect, coupl, strength, simpli
moment, feel, enjoy, emot, perfect, share, music, eye, eas, effort, sensat, partner, contact, danc
ballroom, dancer, lead, level, import, abil, materi, essenti, strong, ideal, sens, engag, women, meet
contact, time, develop, lead, communic, choreographi, teach, teacher, touch, improvis, tri, effect, music, maintain
trust, movement, direct, space, chemistri, share, nice, order, mutual, abl, dialogu, respect, vocabulari, partner
point, hand, bodi, share, balanc, centr, lean, meet, blend, start, graviti, general, gentl, kind
time, lift, improv, support, tri, chang, movement, practic, balanc, import, sensit, big, fall, trust
partnership, music, import, person, rhythm, defin, natur, basic, previous, element, qualiti, control, match, posit
movement, non, verbal, cue, power, sensori, term, tool, definit, memori, contact, visual, effort, react
weight, support, transfer, follow, chest, forward, breath, axi, clear, coordin, partnership, balanc, basic, releas
breath, rhythm, danc, movement, think, import, tango, flow, dancer, equal, trick, necessari, speed, latin
element, polit, danc, center, ballet, practic, enhanc, dancer, modern, add, line, say, forc, influenc
depend, awar, social, touch, physic, choreographi, context, competit, partnership, connect, relat, experi, fit, partner
requir, connect, dancer, lead, happen, ballet, classic, cours, initi, power, choreograph, art, impuls, ladi
contact, improv, exercis, train, form, social, open, improvis, natur, simpli, let, aesthet, term, approach
need, movement, bodi, awar, understand, pull, thing, common, push, sure, inform, mechan, basic, releas
touch, weight, explor, share, possibl, floor, posit, order, awar, control, yield, partner, contact, danc
bodi, understand, follow, movement, relat, question, allow, joint, weight, step, frame, leader, simultan, point
depend, need, express, relat, choreographi, feel, style, danc, term, lean, modern, want, kind, communic
ballroom, style, woman, element, tango, differ, ballet, improvis, chang, similar, play, visual, question, aspect
bodi, movement, help, creat, surfac, explor, contact, possibl, fit, lot, offer, depend, improvis, momentum
person, centr, relationship, understand, energi, audienc, function, common, mean, element, bring, graviti, forc, partner
contact, help, eye, sensit, close, weight, check, especi, light, energi, coupl, sens, partner, danc

